cid; 	 iupac; 	 groups (semicolon delimited);
mobley_1017962; 	 methyl hexanoate 	; carboxylic acid ester
mobley_1019269; 	 butan-1-ol 	; primary alcohol
mobley_1034539; 	 1,2,3,4-tetrachloro-5-(3,4-dichlorophenyl)benzene 	; aryl chloride; aromatic
mobley_1036761; 	 cyclohexanamine 	; primary amine; primary aliphatic amine (alkylamine)
mobley_1046331; 	 phenyl formate 	; carboxylic acid ester; aromatic
mobley_1075836; 	 methyl propanoate 	; carboxylic acid ester
mobley_1079207; 	 1,3-dichlorobenzene 	; aryl chloride; aromatic
mobley_1107178; 	 iodoethane 	; alkyl iodide
mobley_1139153; 	 2,2,4-trimethylpentane 	; 
mobley_1144156; 	 ethoxyethane 	; dialkyl ether
mobley_1160109; 	 (2R,5R)-2-methyl-5-(1-methylethenyl)-cyclohexanone 	; ketone; alkene
mobley_1178614; 	 2-chlorophenol 	; phenol or hydroxyhetarene; aryl chloride; aromatic
mobley_1189457; 	 methylsulfanylbenzene 	; thioether; aromatic
mobley_1199854; 	 1-iodopropane 	; alkyl iodide
mobley_1231151; 	 2-chloropropane 	; alkyl chloride
mobley_1235151; 	 1-nitropentane 	; nitro
mobley_1244778; 	 cycloheptanol 	; secondary alcohol
mobley_1261349; 	 neopentane 	; 
mobley_1278715; 	 hexachloroethane 	; halogen derivative
mobley_129464; 	 1-butoxybutane 	; dialkyl ether
mobley_1323538; 	 triethylphosphate 	; phosphoric acid ester
mobley_1328465; 	 1,1,2-trichloroethane 	; alkyl chloride
mobley_1328936; 	 methyl 4-nitrobenzoate 	; carboxylic acid ester; nitro; aromatic
mobley_1352110; 	 pebulate 	; thiocarbamic acid ester
mobley_1363784; 	 3,5-dimethylpyridine 	; aromatic; heterocyclic
mobley_1396156; 	 pentachloronitrobenzene 	; aryl chloride; nitro; aromatic
mobley_1417007; 	 captan 	; halogen derivative; carboxylic acid imide, N-substituted; alkene; heterocyclic
mobley_1424265; 	 m-xylene 	; aromatic
mobley_1449384; 	 1-isopropyl-4-methyl-benzene 	; aromatic
mobley_1469079; 	 2,3-dichlorodibenzo-p-dioxin 	; diaryl ether; aryl chloride; aromatic; heterocyclic
mobley_1502181; 	 nonan-2-one 	; ketone
mobley_1520842; 	 4-methylpyridine 	; aromatic; heterocyclic
mobley_1527293; 	 flurbiprofen 	; aryl fluoride; carboxylic acid; aromatic
mobley_1563176; 	 butane-1-thiol 	; thiol (sulfanyl); alkylthiol
mobley_1571523; 	 2,3-dimethylphenol 	; phenol or hydroxyhetarene; aromatic
mobley_1592519; 	 ethyl hexanoate 	; carboxylic acid ester
mobley_1615431; 	 2-isopropoxypropane 	; dialkyl ether
mobley_1636752; 	 methanol 	; primary alcohol
mobley_1650157; 	 2-methylpropan-2-ol 	; tertiary alcohol
mobley_1659169; 	 morpholine 	; dialkyl ether; secondary amine; secondary aliphatic amine (dialkylamine); heterocyclic
mobley_1662128; 	 but-1-ene 	; alkene
mobley_1674094; 	 hex-1-yne 	; alkyne
mobley_1708457; 	 methylsulfonylmethane 	; sulfone
mobley_1717215; 	 methyl formate 	; carboxylic acid ester
mobley_1722522; 	 ethyl butanoate 	; carboxylic acid ester
mobley_1723043; 	 octafluorocyclobutane 	; alkyl fluoride
mobley_1728386; 	 benzamide 	; primary carboxylic acid amide; aromatic
mobley_172879; 	 dibenzo-p-dioxin 	; diaryl ether; aromatic; heterocyclic
mobley_1733799; 	 4-bromophenol 	; phenol or hydroxyhetarene; aryl bromide; aromatic
mobley_1735893; 	 hexanoic acid 	; carboxylic acid
mobley_1743409; 	 diethyl butanedioate 	; carboxylic acid ester
mobley_1755375; 	 2,6-dimethylphenol 	; phenol or hydroxyhetarene; aromatic
mobley_1760914; 	 1-chloro-2-methyl-benzene 	; aryl chloride; aromatic
mobley_1770205; 	 3-(dimethoxyphosphinothioylsulfanylmethyl)-1,2,3-benzotriazin-4-one 	; oxo(het)arene; thiophosphoric acid ester; aromatic; heterocyclic
mobley_1781152; 	 methyl 2,2-dimethylpropanoate 	; carboxylic acid ester
mobley_1792062; 	 1,2-dibromoethane 	; alkyl bromide
mobley_1800170; 	 ethanethiol 	; thiol (sulfanyl); alkylthiol
mobley_1803862; 	 isopentane 	; 
mobley_1821184; 	 3-methyl-1H-indole 	; aromatic; heterocyclic
mobley_1827204; 	 hexanal 	; aldehyde
mobley_1838110; 	 1,1,2-trichloro-1,2,2-trifluoro-ethane 	; halogen derivative
mobley_1849020; 	 4-chlorophenyl)sulfanylmethylsulfanyl-diethoxy-thioxo-$l^{5}-phosphane 	; aryl chloride; thiophosphoric acid ester; aromatic
mobley_1855337; 	 1,2,3,5-tetrachlorobenzene 	; aryl chloride; aromatic
mobley_1857976; 	 1,2-dichloroethane 	; alkyl chloride
mobley_1858644; 	 2-phenylethanol 	; primary alcohol; aromatic
mobley_186894; 	 propanethiol 	; thiol (sulfanyl); alkylthiol
mobley_1873346; 	 toluene 	; aromatic
mobley_1875719; 	 pentan-3-one 	; ketone
mobley_1881249; 	 pentan-2-one 	; ketone
mobley_1893815; 	 1,1,1,2-tetrachloroethane 	; alkyl chloride
mobley_1893937; 	 1-chlorohexane 	; alkyl chloride
mobley_1896013; 	 (2S,3R,4S,5R)-oxane-2,3,4,5-tetrol 	; hemiacetal; secondary alcohol; 1,2-diol; heterocyclic
mobley_1899443; 	 2-methylpent-1-ene 	; alkene
mobley_1903702; 	 butan-2-ol 	; secondary alcohol
mobley_1905088; 	 benzyl bromide 	; alkyl bromide; aromatic
mobley_1922649; 	 methylparathion 	; nitro; thiophosphoric acid ester; aromatic
mobley_1923244; 	 n-butane 	; 
mobley_1929982; 	 hydrogen sulfide 	; 
mobley_194273; 	 bromacil 	; aryl bromide; oxo(het)arene; aromatic; heterocyclic
mobley_1944394; 	 [2-benzhydryloxyethyl]-dimethyl-amine 	; dialkyl ether; tertiary amine; tertiary aliphatic amine (trialkylamine); aromatic
mobley_1952272; 	 nitromethane 	; nitro
mobley_1963873; 	 N-methylacetamide 	; secondary carboxylic acid amide
mobley_1967551; 	 acetaldehyde 	; aldehyde
mobley_197466; 	 1-cyclopropylethanone 	; ketone
mobley_1976156; 	 nonanal 	; aldehyde
mobley_1977493; 	 1-chloropropane 	; alkyl chloride
mobley_1987439; 	 mesitylene 	; aromatic
mobley_2005792; 	 biphenyl 	; aromatic
mobley_2008055; 	 ethane 	; 
mobley_2023925; 	 2-chloro-2-(difluoromethoxy)-1,1,1-trifluoro-ethane 	; alkyl chloride; orthocarboxylic acid derivative
mobley_2043882; 	 1-cyclohexylethanone 	; ketone
mobley_2049967; 	 methylsulfanylethane 	; thioether
mobley_20524; 	 phenol 	; phenol or hydroxyhetarene; aromatic
mobley_2068538; 	 propane 	; 
mobley_2078467; 	 ibuprofen 	; carboxylic acid; aromatic
mobley_2099370; 	 ketoprofen 	; ketone; carboxylic acid; aromatic
mobley_210639; 	 2-iodopropane 	; alkyl iodide
mobley_2123854; 	 4-hydroxybenzonitrile 	; phenol or hydroxyhetarene; carbonitrile; aromatic
mobley_2126135; 	 2-ethylphenol 	; phenol or hydroxyhetarene; aromatic
mobley_2143011; 	 3-methylbut-1-ene 	; alkene
mobley_2146331; 	 formaldehyde 	; aldehyde
mobley_2178600; 	 1-chloro-pentane 	; alkyl chloride
mobley_2183616; 	 sec-butylbenzene 	; aromatic
mobley_2197088; 	 decane 	; 
mobley_2198613; 	 chloroethane 	; alkyl chloride
mobley_2213823; 	 3-methylpentane 	; 
mobley_2245668; 	 2-methylpropan-1-ol 	; primary alcohol
mobley_2261979; 	 acenaphthene 	; aromatic
mobley_2269032; 	 naproxen 	; alkyl aryl ether; carboxylic acid; aromatic
mobley_2279874; 	 trimethoxymethane 	; orthocarboxylic acid derivative; orthoester
mobley_2294995; 	 ethyl formate 	; carboxylic acid ester
